Date,Round,Venue,Opponent,GF,GA
13-09-2017,Group stage,Home,APOEL FC,3,0
26-09-2017,Group stage,Away,Dortmund,3,1
17-10-2017,Group stage,Home,Tottenham,1,1
01-11-2017,Group stage,Away,Tottenham,1,3
21-11-2017,Group stage,Away,APOEL FC,6,0
06-12-2017,Group stage,Home,Dortmund,3,2
14-02-2018,Round of 16,Home,Paris S-G,3,1
06-03-2018,Round of 16,Away,Paris S-G,2,1
03-04-2018,Quarter-finals,Away,Juventus,3,0
11-04-2018,Quarter-finals,Home,Juventus,1,3
25-04-2018,Semi-finals,Away,Bayern Munich,2,1
01-05-2018,Semi-finals,Home,Bayern Munich,2,2
26-05-2018,Final,Neutral,Liverpool,3,1